adcode,address,adname,alias,biz_ext,biz_type,business_area,children,childtype,citycode,cityname,discount_num,distance,email,entr_location,event,exit_location,gridcode,groupbuy_num,id,importance,indoor_data,indoor_map,location,match,name,navi_poiid,parent,pcode,photos,pname,poiweight,postcode,recommend,shopid,shopinfo,tag,tel,timestamp,type,typecode,website
430102,浏阳河大道二段305号,芙蓉区,[],"{'rating': '4.8', 'cost': [], 'ticket_ordering': '0'}",tour,东屯渡,[],[],0731,长沙市,0,[],[],"113.044779,28.190126",[],[],4213202322,0,B02DB0WSD4,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"113.046049,28.190126",0,浏阳河婚庆文化园,H49F046041_98534,[],430000,"[{'title': '浏阳河婚庆文化园', 'url': 'http://store.is.autonavi.com/showpic/fd7f724ed4d1ce74baee50ac62e0bf5f', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB0WSD4/comment/2d9068449d931cbb5b7ef8174b08faa1_2048_2048_80.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB0WSD4/comment/8B3FAAC4_4C7A_4BDA_99D7_6C0984072B38_L0_001_1500_2000_1728387687859_90841124.jpg', 'provider': []}]",湖南省,[],[],3,[],2,[],[],2025-04-24 17:11:46,风景名胜;公园广场;公园,110101,[]
430111,桂花路97(桂花公园地铁站3号口步行180米),雨花区,[],"{'rating': '4.6', 'cost': [], 'ticket_ordering': '0'}",tour,左家塘,[],[],0731,长沙市,0,[],[],"113.003093,28.171267",[],[],4213200010,0,B02DB06IM0,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"113.003829,28.171153",0,桂花公园,H49F046040_53273,[],430000,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/7f203373de212e3ed5cfad1a454f08f5', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB06IM0/comment/content_media_external_images_media_172_1731054133717_61190484.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB06IM0/comment/content_media_external_images_media_172_1731054133717_35499037.jpg', 'provider': []}]",湖南省,[],410007,3,[],2,[],0731-85560421,2025-05-01 12:04:45,风景名胜;公园广场;公园,110101,[]
430102,黄兴中路88号,芙蓉区,[],"{'rating': '4.8', 'cost': [], 'ticket_ordering': '0'}",tour,五一广场,[],[],0731,长沙市,0,[],[],"112.97825,28.196667",[],[],4212273810,0,B02DB066DT,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"112.977340,28.196500",0,五一广场,H49F046040_48789,[],430000,"[{'title': [], 'url': 'https://aos-comment.amap.com/B02DB066DT/comment/696BB741_F85F_422C_8135_837E224766FA_L0_001_1320_1651_1744816299683_22523583.jpg', 'provider': []}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e577b4119b8c7b6188f3e082a153d342', 'provider': []}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/84ee0f3a3b43eb2bce107df2eb174ea2', 'provider': []}]",湖南省,[],[],3,[],2,[],[],2025-05-03 17:27:54,风景名胜;公园广场;城市广场,110105,[]
430111,新韶路红星国际宾馆旁,雨花区,[],"{'rating': '4.5', 'cost': [], 'ticket_ordering': '0'}",tour,[],[],[],0731,长沙市,0,[],[],"113.004399,28.120984",[],[],4213104011,0,B02DB0TJ9R,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"113.004867,28.121151",0,长沙红星社区公园,H49F047040_33058,[],430000,"[{'title': [], 'url': 'https://aos-comment.amap.com/B02DB0TJ9R/comment/d3ce3016bbe6da6a7124f4a3ebac6389_2048_2048_80.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB0TJ9R/comment/68c418c20a8a42ae13ce2fb56b5d9cd8_2048_2048_80.jpg', 'provider': []}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/583bc748fcbb244113aca19130dc9b78', 'provider': []}]",湖南省,[],[],3,[],2,[],[],2025-04-24 17:15:40,风景名胜;公园广场;公园,110101,[]
430103,青山路政府西门,天心区,[],"{'rating': '4.5', 'cost': [], 'ticket_ordering': '0'}",tour,[],[],[],0731,长沙市,0,[],[],"112.975787,28.12016",[],[],4212174800,0,B0FFK9OYOU,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"112.977274,28.118627",0,海棠公园,[],[],430000,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0FFK9OYOU/comment/f64a81628061d550e43599f8350e4954_2048_2048_80.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/default_poi/comment/content_media_external_file_1000061199_ss__1745633027299_47176749.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFK9OYOU/comment/0DBF6899_E24D_4C85_AA55_3998A02CC587_L0_001_2000_1500_1727509453847_27518304.jpg', 'provider': []}]",湖南省,[],[],3,[],2,[],[],2025-03-20 15:26:07,风景名胜;风景名胜;风景名胜,110200,[]
430104,咸嘉湖路6号,岳麓区,长沙市王陵公园,"{'rating': '4.7', 'cost': [], 'ticket_ordering': '0'}",tour,咸嘉新村,[],[],0731,长沙市,0,[],[],"112.95219,28.209871",[],[],4212275610,0,B02DB02DFO,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"112.952680,28.211557",0,长沙市望月公园,H49F046040_11142,[],430000,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c2a488a69205c1739f79c8dfc5d39740', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB02DFO/comment/742366c0e59993efddb5ff395b3408d0_2048_2048_80.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB02DFO/comment/content_media_external_images_media_489136_1656250517241_455a8436.jpg', 'provider': []}]",湖南省,[],[],3,[],2,茶花,0731-88806592,2025-04-30 20:03:46,风景名胜;公园广场;公园,110101,[]
430104,含光路610附近,岳麓区,[],"{'rating': '4.7', 'cost': [], 'ticket_ordering': '0'}",tour,观沙路,[],[],0731,长沙市,0,[],[],"112.934273,28.236866",[],[],4212278412,0,B0FFGRKGDD,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"112.936829,28.236836",0,八方公园,[],[],430000,"[{'title': [], 'url': 'https://aos-comment.amap.com/B0FFGRKGDD/headerImg/8fa6133fb8e149f7c94c0793a172f176_2048_2048_80.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFGRKGDD/comment/a8e5f193cbf775606db91d8f2efadd4b_2048_2048_80.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFGRKGDD/comment/a3d37a33935e30dd8f308bdc1dd38b77_2048_2048_80.jpg', 'provider': []}]",湖南省,[],[],3,[],2,[],[],2025-04-24 17:02:24,风景名胜;公园广场;公园,110101,[]
430105,新河路69号(湘江二桥东),开福区,紫凤园,"{'rating': '4.5', 'cost': [], 'ticket_ordering': '0'}",tour,新河,[],[],0731,长沙市,0,[],[],"112.977573,28.227398",[],[],4212277800,0,B02DB0URTE,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"112.976618,28.226664",0,紫凤体育公园,H49F046040_79825,[],430000,"[{'title': [], 'url': 'https://aos-comment.amap.com/B02DB0URTE/comment/8a8b69d41e0ee5e459e4cefec5b4b357_2048_2048_80.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB0URTE/comment/A6D0B847_704F_41C1_9DAA_02CF41D65962_L0_001_2000_1500_1727158702723_52925892.jpg', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB0URTE/comment/content_media_external_images_media_100000510_1734268077749_96613127.jpg', 'provider': []}]",湖南省,[],[],3,[],2,[],[],2025-04-30 23:08:39,风景名胜;公园广场;公园广场|体育休闲服务;运动场馆;运动场所,110100|080100,[]
430102,五一大道70号(长沙火车站地铁站1号口步行210米),芙蓉区,党建文化主题公园,"{'rating': '4.7', 'cost': [], 'ticket_ordering': '0'}",tour,火车站/车站北路,[],[],0731,长沙市,0,[],[],"113.007102,28.195161",[],[],4213203012,0,B02DB02690,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"113.008393,28.195079",0,晓园公园,H49F046041_205622,[],430000,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/80dadf96ba9d167b52d18f3dc94463ac', 'provider': []}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/204d392fe4a10566dabf7b9c3b438ed5', 'provider': []}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/384daa91a23e16114b6150359ff0c99d', 'provider': []}]",湖南省,[],410001,3,[],2,[],0731-82297258;0731-82299350,2025-04-30 19:14:59,风景名胜;公园广场;公园,110101,[]
430104,含光路西二环路口公交站,岳麓区,[],"{'rating': '4.4', 'cost': [], 'ticket_ordering': '0'}",tour,湘江新区,[],[],0731,长沙市,0,[],[],"112.924071,28.236974",[],[],4212278302,0,B02DB06905,[],"{'cpid': [], 'floor': [], 'truefloor': [], 'cmsid': []}",0,"112.922970,28.235575",0,金峰公园,H49F046040_45901,[],430000,"[{'title': [], 'url': 'https://aos-comment.amap.com/B02DB06905/comment/2f33a095ee41fa1ea3232b995c4b74e8_2048_2048_80.jpg', 'provider': []}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/c10489d957f950b5f03606bfba4c30f9', 'provider': []}, {'title': [], 'url': 'https://aos-comment.amap.com/B02DB06905/comment/fc1154c054ff10dc175a0ddb4bffe6fd_2048_2048_80.jpg', 'provider': []}]",湖南省,[],[],3,[],2,[],[],2025-03-20 11:49:15,风景名胜;公园广场;公园,110101,[]
