公园名称,公园位置,POI类别,POI名称,POI地址,POI位置,POI电话,POI评分,POI距离
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,Peng Shu(浏阳河婚庆园店),荷花路浏阳河婚庆文化园A2-119,"113.045877,28.190709",16680433467,4.9,67
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,Meters7潜水咖啡馆,浏阳河婚庆公园A2-120,"113.045774,28.190786",13080536667,4.5,78
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,茶叙空间,荷花路与浏阳河大道交叉口西南80米,"113.046582,28.190753",[],[],87
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,大腕烧肉,荷花路792号,"113.046114,28.191046",0731-84482475,4.7,102
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,奈村日料,浏阳河大道二段305号浏阳河婚庆文化园(西北角),"113.045376,28.190967",13873166853;17375774666,3.7,114
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,罗莎蛋糕(浏阳河店),浏阳河大道二段305号浏阳河婚庆文化园(西北角),"113.045494,28.191050",0731-85604157,4.3,116
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,田伯伯の料理店,浏阳河大道婚庆文化园,"113.045395,28.191018",17375774666,4.7,118
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,搭子部落浏阳河店,东屯渡街道浏阳河大道300号婚庆文化园项目A2外街112号,"113.046520,28.191166",15616190822,4.0,124
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,寻味野在烧,浏阳河婚庆园大道300号婚庆文化园项目300号A3-103-1室,"113.047627,28.190228",13607303275;18973017718,4.1,155
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,三个铁锅(高岭小区店),高岭小区14栋东1号(浏阳河婚庆文化园对面),"113.044197,28.190281",0731-84716771,4.6,182
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,小门大户(婚庆园店),荷花路469号,"113.045207,28.191611",0731-89712888;17707314895,4.3,184
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,禾億茶舍,荷花路663号,"113.044934,28.191516",[],4.0,189
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,月城火盆烧烤(白沙湾路店),高岭小区16栋,"113.043999,28.190034",18229873223;18274846221,4.7,201
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,周记柴火鸡(婚庆公园店),高岭小区8栋4单元,"113.044122,28.190771",0731-85512341;15200817088,4.2,202
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,幸运里物生日蛋糕,东屯渡街道高岭小区11栋一单元,"113.043804,28.190495",17665328890,3.5,224
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,大斌府火锅(浏阳河店),东屯渡街道浏阳河大道300号婚庆文化园B1-101室,"113.046680,28.192170",0731-82186327;19835239138,4.8,235
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,和记浏阳蒸菜(高岭小区店),东屯渡街道高岭小区4栋,"113.043871,28.191105",13077373461;15116241204;18711162245,4.2,239
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,爸爸很忙炸串馆,东屯渡街道东屯渡社区高岭小区4栋4号底层,"113.043744,28.191068",[],3.8,249
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,三哥蒸菜(扬帆店),高岭小区4栋42号,"113.043734,28.191114",18684658813,4.1,252
浏阳河婚庆文化园,"113.046049,28.190126",餐饮,吴先生的破店(婚庆园店),东屯渡街道浏阳河西岸风光带原产业带用房一楼105号,"113.047232,28.192169",13946163929,4.5,255
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙小天鹅国际公馆,东屯渡街道浏阳河大道二段300号浏阳河婚庆公园A1-401,"113.045217,28.189627",13294637607,4.7,98
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙暮舍酒店,荷花路469号芙蓉公寓E区117号门面,"113.046195,28.191580",0731-82233366;18073181555,4.4,162
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙琴缘家庭旅馆,高岭小区8栋5单元2楼,"113.044112,28.190808",18673338756,4.1,204
浏阳河婚庆文化园,"113.046049,28.190126",住宿,温馨家庭旅馆(长沙高岭店),高岭小区4栋3单元,"113.043945,28.191023",13974936313,2.2,229
浏阳河婚庆文化园,"113.046049,28.190126",住宿,尚成酒店(长沙万家丽广场店),沙湾路1688号,"113.043995,28.193067",0731-89860888,4.5,384
浏阳河婚庆文化园,"113.046049,28.190126",住宿,佳乐福旅馆,荷花路高岭小区3栋1单元201,"113.043032,28.191061",15874125223,[],313
浏阳河婚庆文化园,"113.046049,28.190126",住宿,柏曼酒店(长沙万家丽广场地铁站扬帆夜市店),荷花路628号,"113.041003,28.191060",19375167561,4.7,505
浏阳河婚庆文化园,"113.046049,28.190126",住宿,长沙幸福旅馆(万家丽国际MALL人民东路地铁站店),高岭小区71栋3单元2-3楼,"113.041875,28.190001",15802668402;18274884790,4.6,409
浏阳河婚庆文化园,"113.046049,28.190126",住宿,种子柚民宿(万家丽国际MALL商圈1号店),沙湾路1088号江河双水湾9栋1单元504室,"113.049835,28.187776",15616172033,5.0,454
浏阳河婚庆文化园,"113.046049,28.190126",住宿,四季欢住酒店,长房·白沙湾南2门旁,"113.044003,28.193158",19073134897,[],392
